"Name","PartyFinal","PartyOpenParl","PartyWiki","PartyWikiClean","PartyfromText"
"Mark Coulton","-","-",NA,NA,"Ind"
"Mark Dreyfus","Labor","Labor",NA,NA,"Liberal"
"Mark Vaile","National",NA,"National Party of Australia","National","Labor"
"Martin Ferguson","Labor",NA,"Labor","Labor","Labor"
"Mary Doyle","Labor","Labor",NA,NA,NA
"Matt Burnell","Labor","Labor",NA,NA,"Labor"
"Matt Keogh","Labor","Labor",NA,NA,"Labor"
"Matt Thistlethwaite","Labor","Labor",NA,NA,"Liberal"
"Matt Williams","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Max Chandler-Mather","Greens","Greens",NA,NA,"Greens"
"Maxine McKew","Labor",NA,"Labor","Labor","Labor"
"Melissa McIntosh","Liberal","Liberal",NA,NA,"Liberal"
"Melissa Parke","Labor",NA,"Labor","Labor","Labor"
"Melissa Price","Liberal","Liberal",NA,NA,"Liberal"
"Meryl Swanson","Labor","Labor",NA,NA,"Labor"
"Michael Danby","Labor",NA,"Labor","Labor","Labor"
"Michael Ferguson","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Michael Hatton","Labor",NA,"Labor","Labor","Labor"
"Michael Johnson","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Michael Keenan","Liberal",NA,"Liberal","Liberal","Labor"
"Michael McCormack","National","National",NA,NA,"Labor"
"Michael Sukkar","Liberal","Liberal",NA,NA,"Liberal"
"Michelle Ananda-Rajah","Labor","Labor",NA,NA,"Labor"
"Michelle Landry","National","National",NA,NA,"National"
"Michelle Rowland","Labor","Labor",NA,NA,"Labor"
"Mike Freelander","Labor","Labor",NA,NA,"Labor"
"Mike Kelly","Labor",NA,"South Australian Labor Party","Labor","Labor"
"Mike Symon","Labor",NA,"Australian Labor Party","Labor","Labor"
"Milton Dick","-","-",NA,NA,"Ind"
"Monique Ryan","Ind","Ind",NA,NA,"Ind"
"Natasha Griggs","Liberal",NA,"Liberal","Liberal","Country"
"Nick Champion","Labor",NA,"Australian Labor Party (SA)","Labor","Labor"
"Nickolas Varvaris","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Nicola Roxon","Labor",NA,"Labor Party","Labor","Labor"
"Nicolle Flint","Liberal",NA,"Liberal","Liberal","Liberal"
"Nola Marino","Liberal","Liberal",NA,NA,"Liberal"
"Pat Conaghan","National","National",NA,NA,"National"
"Pat Conroy","Labor","Labor",NA,NA,"Labor"
"Pat Farmer","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Patrick Gorman","Labor","Labor",NA,NA,"Labor"
"Patrick Secker","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Paul Fletcher","Liberal","Liberal",NA,NA,"Labor"
"Paul Neville","Liberal National",NA,"National (federal)Liberal National (state, 2010-2019)","Liberal National","National"
"Peta Murphy","Labor","Labor",NA,NA,"Labor"
"Peter Andren","Independent",NA,"Independent","Independent","Ind"
"Peter Costello","Liberal",NA,"Liberal","Liberal","Liberal"
"Peter Dutton","Liberal","Liberal",NA,NA,"Liberal"
"Peter Garrett","Labor",NA,"Labor (from 2004)[1]","Labor","Labor"
"Peter Hendy","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Peter Khalil","Labor","Labor",NA,NA,"Labor"
"Peter Lindsay","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Peter McGauran","National",NA,"National Party of Australia","National","Labor"
"Peter Slipper","Independent",NA,"National (1984–1987)Liberal (1993–2011)Independent (2011–2013)Palmer United (2013)","Independent","Liberal"
"Petro Georgiou","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Philip Ruddock","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Phillip Barresi","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Phillip Thompson","Liberal National","Liberal National",NA,NA,"Liberal National"
"Rebekha Sharkie","Centre Alliance","Centre Alliance",NA,NA,"Centre Alliance"
"Richard Marles","Labor","Labor",NA,NA,"Labor"
"Rick Wilson","Liberal","Liberal",NA,NA,"Liberal"
"Rob Mitchell","Labor","Labor",NA,NA,"Labor"
"Robert McClelland","Labor",NA,"Australian Labor Party","Labor","Labor"
"Robert Oakeshott","Independent",NA,"National (1996–2002)Independent (2002–present)","Independent","Ind"
"Rod Sawford","Labor",NA,"Australian Labor Party","Labor","Labor"
"Roger Price","Labor",NA,"Australian Labor Party","Labor","Labor"
"Ross Hart","Labor",NA,"Australian Labor Party","Labor","Labor"
"Ross Vasta","Liberal","Liberal",NA,NA,"Liberal"
"Rowan Ramsey","Liberal","Liberal",NA,NA,"Liberal"
"Russell Broadbent","Ind","Ind",NA,NA,"Ind"
"Russell Matheson","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Sally Sitou","Labor","Labor",NA,NA,"Labor"
"Sam Birrell","National","National",NA,NA,"National"
"Sam Lim","Labor","Labor",NA,NA,"Labor"
"Sam Rae","Labor","Labor",NA,NA,"Labor"
"Sarah Henderson","Liberal",NA,"Liberal","Liberal","Liberal"
"Scott Buchholz","Liberal","Liberal",NA,NA,"Liberal"
"Scott Morrison","Liberal","Liberal",NA,NA,"Labor"
"Sharman Stone","Liberal",NA,"Liberal","Liberal","Labor"
"Sharon Bird","Labor",NA,"Australian Labor Party","Labor","Labor"
"Sharon Claydon","Labor","Labor",NA,NA,"Labor"
"Sharon Grierson","Labor",NA,"Australian Labor Party","Labor","Labor"
"Sharryn Jackson","Labor",NA,"Australian Labor Party","Labor","Labor"
"Shayne Neumann","Labor","Labor",NA,NA,"Liberal"
"Sid Sidebottom","Labor",NA,"Australian Labor Party","Labor","Labor"
"Simon Crean","Labor",NA,"Labor","Labor","Labor"
"Sophie Mirabella","Liberal",NA,"Liberal","Liberal","Liberal"
"Sophie Scamps","Ind","Ind",NA,NA,"Ind"
"Stephen Bates","Greens","Greens",NA,NA,"Greens"
"Stephen Jones","Labor","Labor",NA,NA,"Labor"
"Stephen Smith","Labor",NA,"Australian Labor Party","Labor","Labor"
"Steve Georganas","Labor","Labor",NA,NA,"Labor"
"Steve Gibbons","Labor",NA,"Australian Labor Party","Labor","Labor"
"Steve Irons","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Steven Ciobo","Liberal",NA,"Liberal (LNP)","Liberal","Liberal"
"Stewart McArthur","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Stuart Henry","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Stuart Robert","Liberal",NA,"Liberal (since 1991; federal)","Liberal","Labor"
"Susan Lamb","Labor",NA,"Labor","Labor","Labor"
"Susan Templeman","Labor","Labor",NA,NA,"Labor"
"Sussan Ley","Liberal","Liberal",NA,NA,"Labor"
"Tania Lawrence","Labor","Labor",NA,NA,"Labor"
"Tanya Plibersek","Labor","Labor",NA,NA,"Liberal"
"Ted O'Brien","Liberal","Liberal",NA,NA,"Liberal"
